query_id,category,text,annotation_mode,pool_depth,relevant_group_key,relevant_group_label
q037,album,Accuphase: Special Sound Selection (for Superior Equipment),manual,10,release_1515866,Various Artists / Accuphase: Special Sound Selection (for Superior Equipment)
q038,album,At.Long.Last.A$AP,manual,10,release_1610922,A$AP Rocky / At.Long.Last.A$AP
q039,album,Greatest Hits,manual,10,release_1807317,Nancy Sinatra / Greatest Hits
q040,album,Treulich geführt... - Die schönsten Hochzeitsmelodien,manual,10,release_1833799,Various Artists / Treulich geführt... - Die schönsten Hochzeitsmelodien
q041,album,COWBOY BEBOP NO DISC オリジナルサウンドトラック2,manual,10,release_1864872,Seatbelts / COWBOY BEBOP NO DISC オリジナルサウンドトラック2
q042,album,Doctor Who: Genesis of the Daleks,manual,10,release_1973532,Terry Nation narrated by Tom Baker / Doctor Who: Genesis of the Daleks
q043,album,Oliver Twist,manual,10,release_2032540,Charles Dickens read by Martin Jarvis / Oliver Twist
q044,album,Songs of Faith and Devotion,manual,10,release_2221807,Depeche Mode / Songs of Faith and Devotion
q045,album,The Very Best of Andrew Lloyd Webber: The Broadway Collection,manual,10,release_2229385,Andrew Lloyd Webber / The Very Best of Andrew Lloyd Webber: The Broadway Collection
q046,album,Dave’s Picks, Volume 24: Berkeley Community Theatre, Berkeley, CA · 8/25/72,manual,10,release_2248538,Grateful Dead / Dave’s Picks, Volume 24: Berkeley Community Theatre, Berkeley, CA · 8/25/72
q047,album,The Instruments of Classical Music, Vol. 5: The Violin,manual,10,release_2296233,Various Artists / The Instruments of Classical Music, Vol. 5: The Violin
q048,album,Rimskij-Korsakov: «Sheherazade» / Musorgskij: «Quadri di un’esposizione»,manual,10,release_2428903,Rimskij-Korsakov, Musorgskij; Orchestra sinfonica di Torino della RAI, Sergiu Celibidache, Orchestra sinfonica di Milano della RAI, Riccardo Muti / Rimskij-Korsakov: «Sheherazade» / Musorgskij: «Quadri di un’esposizione»
q049,artist,Various Artists,manual,10,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q050,artist,Cage,manual,10,release_150181,Cage / Movies for the Blind
q051,artist,kid606,manual,10,release_163733,kid606 / kid606 and Friends, Volume 1
q052,artist,菅野よう子,manual,10,release_207041,菅野よう子 / Ghost in the Shell: Stand Alone Complex O.S.T.+
q053,artist,Appleblim,manual,10,release_420610,Appleblim / Dubstep Allstars, Volume 06: Mixed by Appleblim
q054,artist,Various Artists,manual,10,release_759740,Various Artists / Classic CD, Volume 56: Christmas Classics
q055,artist,Silvia Čápová,manual,10,release_999525,Silvia Čápová / Piano Masterpieces
q056,artist,잠비나이,manual,10,release_1202740,잠비나이 / 차연
q057,artist,Tschaikowsky; Wiener Symphoniker & Edouard van Remoortel, Baltimore Symphony Orchestra & Sergiu Comissiona,manual,10,release_1236800,Tschaikowsky; Wiener Symphoniker & Edouard van Remoortel, Baltimore Symphony Orchestra & Sergiu Comissiona / Im Herzen der Klassik 10: Tschaikowsky- Balletmusik (Auszüge)
q058,artist,Maurice Ravel, Tchaikovsky; Arthur Rubinstein, Jascha Heifetz, Gregor Piatigorsky,manual,10,release_1350314,Maurice Ravel, Tchaikovsky; Arthur Rubinstein, Jascha Heifetz, Gregor Piatigorsky / The Rubinstein Collection, Volume 25: Ravel: Piano Trio / Tchaikovsky: Piano Trio, Op. 50
q059,artist,澤野弘之,manual,10,release_1367361,澤野弘之 / キルラキル オリジナルサウンドトラック
q060,artist,yoko kanno,manual,10,release_1444410,yoko kanno / 残響のテロル ORIGINAL SOUNDTRACK
q061,artist,Various Artists,manual,10,release_1515866,Various Artists / Accuphase: Special Sound Selection (for Superior Equipment)
q062,artist,A$AP Rocky,manual,10,release_1610922,A$AP Rocky / At.Long.Last.A$AP
q063,artist,Nancy Sinatra,manual,10,release_1807317,Nancy Sinatra / Greatest Hits
q064,artist,Various Artists,manual,10,release_1833799,Various Artists / Treulich geführt... - Die schönsten Hochzeitsmelodien
q065,artist,Seatbelts,manual,10,release_1864872,Seatbelts / COWBOY BEBOP NO DISC オリジナルサウンドトラック2
q066,artist,Terry Nation narrated by Tom Baker,manual,10,release_1973532,Terry Nation narrated by Tom Baker / Doctor Who: Genesis of the Daleks
q067,title_artist,Introduction Various Artists,manual,10,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q068,title_artist,Morning Dips Cage,manual,10,release_150181,Cage / Movies for the Blind
q069,title_artist,Catstep / My Kitten / Catnap (Vatstep DSP remix by Hrvatski) kid606,manual,10,release_163733,kid606 / kid606 and Friends, Volume 1
q070,title_artist,Run Rabbit Junk 菅野よう子,manual,10,release_207041,菅野よう子 / Ghost in the Shell: Stand Alone Complex O.S.T.+
q071,title_artist,Gather Appleblim,manual,10,release_420610,Appleblim / Dubstep Allstars, Volume 06: Mixed by Appleblim
q072,title_artist,Lieutenant Kijé Suite, Op. 60: Troika Various Artists,manual,10,release_759740,Various Artists / Classic CD, Volume 56: Christmas Classics
q073,title_artist,Rondo alla turca Silvia Čápová,manual,10,release_999525,Silvia Čápová / Piano Masterpieces
q074,title_artist,소멸의 시간 잠비나이,manual,10,release_1202740,잠비나이 / 차연
q075,title_artist,Ballet-Suite, Op. 20a (Auszüge), "Schwanensee": Walzer Tschaikowsky; Wiener Symphoniker & Edouard van Remoortel, Baltimore Symphony Orchestra & Sergiu Comissiona,manual,10,release_1236800,Tschaikowsky; Wiener Symphoniker & Edouard van Remoortel, Baltimore Symphony Orchestra & Sergiu Comissiona / Im Herzen der Klassik 10: Tschaikowsky- Balletmusik (Auszüge)
q076,title_artist,Piano Trio in A minor: I. Modéré Maurice Ravel, Tchaikovsky; Arthur Rubinstein, Jascha Heifetz, Gregor Piatigorsky,manual,10,release_1350314,Maurice Ravel, Tchaikovsky; Arthur Rubinstein, Jascha Heifetz, Gregor Piatigorsky / The Rubinstein Collection, Volume 25: Ravel: Piano Trio / Tchaikovsky: Piano Trio, Op. 50
q077,title_artist,Before my body is dry 澤野弘之,manual,10,release_1367361,澤野弘之 / キルラキル オリジナルサウンドトラック
q078,title_artist,lolol yoko kanno,manual,10,release_1444410,yoko kanno / 残響のテロル ORIGINAL SOUNDTRACK
q079,title_artist,Symphonic Poem 'Also sprach Zarathustra' 1 Einleitung Various Artists,manual,10,release_1515866,Various Artists / Accuphase: Special Sound Selection (for Superior Equipment)
q080,title_artist,Holy Ghost A$AP Rocky,manual,10,release_1610922,A$AP Rocky / At.Long.Last.A$AP
q081,title_artist,Somethin’ Stupid Nancy Sinatra,manual,10,release_1807317,Nancy Sinatra / Greatest Hits
q082,title_artist,Hochzeitsglocken Various Artists,manual,10,release_1833799,Various Artists / Treulich geführt... - Die schönsten Hochzeitsmelodien
q083,title_artist,American Money Seatbelts,manual,10,release_1864872,Seatbelts / COWBOY BEBOP NO DISC オリジナルサウンドトラック2
q084,title_artist,Opening Titles Terry Nation narrated by Tom Baker,manual,10,release_1973532,Terry Nation narrated by Tom Baker / Doctor Who: Genesis of the Daleks
q085,multi_term,Various Artists みんな大好き塊魂オリジナルサウンドトラック「塊は魂」,manual,10,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q086,multi_term,Cage Movies for the Blind,manual,10,release_150181,Cage / Movies for the Blind
q087,multi_term,kid606 kid606 and Friends, Volume 1,manual,10,release_163733,kid606 / kid606 and Friends, Volume 1
q088,multi_term,菅野よう子 Ghost in the Shell: Stand Alone Complex O.S.T.+,manual,10,release_207041,菅野よう子 / Ghost in the Shell: Stand Alone Complex O.S.T.+
q089,multi_term,Appleblim Dubstep Allstars, Volume 06: Mixed by Appleblim,manual,10,release_420610,Appleblim / Dubstep Allstars, Volume 06: Mixed by Appleblim
q090,multi_term,Various Artists Classic CD, Volume 56: Christmas Classics,manual,10,release_759740,Various Artists / Classic CD, Volume 56: Christmas Classics
q091,multi_term,Silvia Čápová Piano Masterpieces,manual,10,release_999525,Silvia Čápová / Piano Masterpieces
q092,multi_term,잠비나이 차연,manual,10,release_1202740,잠비나이 / 차연
q093,multi_term,Tschaikowsky; Wiener Symphoniker & Edouard van Remoortel, Baltimore Symphony Orchestra & Sergiu Comissiona Im Herzen der Klassik 10: Tschaikowsky- Balletmusik (Auszüge),manual,10,release_1236800,Tschaikowsky; Wiener Symphoniker & Edouard van Remoortel, Baltimore Symphony Orchestra & Sergiu Comissiona / Im Herzen der Klassik 10: Tschaikowsky- Balletmusik (Auszüge)
q094,multi_term,Maurice Ravel, Tchaikovsky; Arthur Rubinstein, Jascha Heifetz, Gregor Piatigorsky The Rubinstein Collection, Volume 25: Ravel: Piano Trio / Tchaikovsky: Piano Trio, Op. 50,manual,10,release_1350314,Maurice Ravel, Tchaikovsky; Arthur Rubinstein, Jascha Heifetz, Gregor Piatigorsky / The Rubinstein Collection, Volume 25: Ravel: Piano Trio / Tchaikovsky: Piano Trio, Op. 50
q095,multi_term,澤野弘之 キルラキル オリジナルサウンドトラック,manual,10,release_1367361,澤野弘之 / キルラキル オリジナルサウンドトラック
q096,multi_term,yoko kanno 残響のテロル ORIGINAL SOUNDTRACK,manual,10,release_1444410,yoko kanno / 残響のテロル ORIGINAL SOUNDTRACK
q097,multi_term,Various Artists Accuphase: Special Sound Selection (for Superior Equipment),manual,10,release_1515866,Various Artists / Accuphase: Special Sound Selection (for Superior Equipment)
q098,multi_term,A$AP Rocky At.Long.Last.A$AP,manual,10,release_1610922,A$AP Rocky / At.Long.Last.A$AP
q099,multi_term,Nancy Sinatra Greatest Hits,manual,10,release_1807317,Nancy Sinatra / Greatest Hits
q100,multi_term,Various Artists Treulich geführt... - Die schönsten Hochzeitsmelodien,manual,10,release_1833799,Various Artists / Treulich geführt... - Die schönsten Hochzeitsmelodien
q101,multi_term,Seatbelts COWBOY BEBOP NO DISC オリジナルサウンドトラック2,manual,10,release_1864872,Seatbelts / COWBOY BEBOP NO DISC オリジナルサウンドトラック2
q102,multi_term,Terry Nation narrated by Tom Baker Doctor Who: Genesis of the Daleks,manual,10,release_1973532,Terry Nation narrated by Tom Baker / Doctor Who: Genesis of the Daleks
q103,release_alias,We Love Katamari Original Soundtrack,manual,10,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q104,release_alias,Movies For The Blind,manual,10,release_150181,Cage / Movies for the Blind
q105,release_alias,Kid606 and Friends Vol. 1,manual,10,release_163733,kid606 / kid606 and Friends, Volume 1
q106,release_alias,STAND ALONE COMPLEX O.S.T.+,manual,10,release_207041,菅野よう子 / Ghost in the Shell: Stand Alone Complex O.S.T.+
q107,release_alias,Dubstep Allstars: Vol.06,manual,10,release_420610,Appleblim / Dubstep Allstars, Volume 06: Mixed by Appleblim
q108,release_alias,Classic CD No. 56: Christmas Classics,manual,10,release_759740,Various Artists / Classic CD, Volume 56: Christmas Classics
q109,release_alias,Famous Masterpieces from the Great Masters,manual,10,release_999525,Silvia Čápová / Piano Masterpieces
q110,release_alias,Différance,manual,10,release_1202740,잠비나이 / 차연
q111,release_alias,Im Herzen der Klassik, Vol. 10: Tschaikowsky,manual,10,release_1236800,Tschaikowsky; Wiener Symphoniker & Edouard van Remoortel, Baltimore Symphony Orchestra & Sergiu Comissiona / Im Herzen der Klassik 10: Tschaikowsky- Balletmusik (Auszüge)
q112,release_alias,Piano Trios,manual,10,release_1350314,Maurice Ravel, Tchaikovsky; Arthur Rubinstein, Jascha Heifetz, Gregor Piatigorsky / The Rubinstein Collection, Volume 25: Ravel: Piano Trio / Tchaikovsky: Piano Trio, Op. 50
q113,artist_alias,遠山明孝,manual,10,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q114,artist_alias,kid666,manual,10,release_163733,kid606 / kid606 and Friends, Volume 1
q115,artist_alias,高橋 ひでゆき,manual,10,release_207041,菅野よう子 / Ghost in the Shell: Stand Alone Complex O.S.T.+
q116,artist_alias,Prevelist,manual,10,release_420610,Appleblim / Dubstep Allstars, Volume 06: Mixed by Appleblim
q117,artist_alias,Sergei Prokofjev,manual,10,release_759740,Various Artists / Classic CD, Volume 56: Christmas Classics
q118,artist_alias,Вольфганг Амадей Моцарт,manual,10,release_999525,Silvia Čápová / Piano Masterpieces
q119,artist_alias,Jambinai,manual,10,release_1202740,잠비나이 / 차연
q120,artist_alias,チャイコフスキー,manual,10,release_1236800,Tschaikowsky; Wiener Symphoniker & Edouard van Remoortel, Baltimore Symphony Orchestra & Sergiu Comissiona / Im Herzen der Klassik 10: Tschaikowsky- Balletmusik (Auszüge)
q121,artist_alias,ラヴェル,manual,10,release_1350314,Maurice Ravel, Tchaikovsky; Arthur Rubinstein, Jascha Heifetz, Gregor Piatigorsky / The Rubinstein Collection, Volume 25: Ravel: Piano Trio / Tchaikovsky: Piano Trio, Op. 50
q122,artist_alias,澤野弘之,manual,10,release_1367361,澤野弘之 / キルラキル オリジナルサウンドトラック
q123,typo,Introductiox,manual,10,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q124,typo,Morning Dipx,manual,10,release_150181,Cage / Movies for the Blind
q125,typo,Catstep / My Kitten / Catnap (Vatstep DSP remix by Hrvatskix,manual,10,release_163733,kid606 / kid606 and Friends, Volume 1
q126,typo,Run Rabbit Junx,manual,10,release_207041,菅野よう子 / Ghost in the Shell: Stand Alone Complex O.S.T.+
q127,typo,Rondo alla turcx,manual,10,release_999525,Silvia Čápová / Piano Masterpieces
q128,typo,Before my body is drx,manual,10,release_1367361,澤野弘之 / キルラキル オリジナルサウンドトラック
q129,typo,Symphonic Poem 'Also sprach Zarathustra' 1 Einleitunx,manual,10,release_1515866,Various Artists / Accuphase: Special Sound Selection (for Superior Equipment)
q130,typo,Holy Ghosx,manual,10,release_1610922,A$AP Rocky / At.Long.Last.A$AP
q131,typo,Hochzeitsglockex,manual,10,release_1833799,Various Artists / Treulich geführt... - Die schönsten Hochzeitsmelodien
q132,typo,American Monex,manual,10,release_1864872,Seatbelts / COWBOY BEBOP NO DISC オリジナルサウンドトラック2
q133,typo,Opening Titlex,manual,10,release_1973532,Terry Nation narrated by Tom Baker / Doctor Who: Genesis of the Daleks
q134,typo,Birth of an Orphax,manual,10,release_2032540,Charles Dickens read by Martin Jarvis / Oliver Twist
q135,compact,MorningDips,manual,10,release_150181,Cage / Movies for the Blind
q136,compact,Catstep/MyKitten/Catnap(VatstepDSPremixbyHrvatski),manual,10,release_163733,kid606 / kid606 and Friends, Volume 1
q137,compact,RunRabbitJunk,manual,10,release_207041,菅野よう子 / Ghost in the Shell: Stand Alone Complex O.S.T.+
q138,compact,LieutenantKijéSuite,Op.60:Troika,manual,10,release_759740,Various Artists / Classic CD, Volume 56: Christmas Classics
q139,compact,Rondoallaturca,manual,10,release_999525,Silvia Čápová / Piano Masterpieces
q140,compact,소멸의시간,manual,10,release_1202740,잠비나이 / 차연
q141,compact,Ballet-Suite,Op.20a(Auszüge),"Schwanensee":Walzer,manual,10,release_1236800,Tschaikowsky; Wiener Symphoniker & Edouard van Remoortel, Baltimore Symphony Orchestra & Sergiu Comissiona / Im Herzen der Klassik 10: Tschaikowsky- Balletmusik (Auszüge)
q142,compact,PianoTrioinAminor:I.Modéré,manual,10,release_1350314,Maurice Ravel, Tchaikovsky; Arthur Rubinstein, Jascha Heifetz, Gregor Piatigorsky / The Rubinstein Collection, Volume 25: Ravel: Piano Trio / Tchaikovsky: Piano Trio, Op. 50
q143,compact,Beforemybodyisdry,manual,10,release_1367361,澤野弘之 / キルラキル オリジナルサウンドトラック
q144,compact,SymphonicPoem'AlsosprachZarathustra'1Einleitung,manual,10,release_1515866,Various Artists / Accuphase: Special Sound Selection (for Superior Equipment)
q145,fullwidth,みんな大好き塊魂オリジナルサウンドトラック「塊は魂」,manual,10,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q146,fullwidth,Ｇｈｏｓｔ　ｉｎ　ｔｈｅ　Ｓｈｅｌｌ：　Ｓｔａｎｄ　Ａｌｏｎｅ　Ｃｏｍｐｌｅｘ　Ｏ．Ｓ．Ｔ．＋,manual,10,release_207041,菅野よう子 / Ghost in the Shell: Stand Alone Complex O.S.T.+
q147,fullwidth,キルラキル　オリジナルサウンドトラック,manual,10,release_1367361,澤野弘之 / キルラキル オリジナルサウンドトラック
q148,fullwidth,残響のテロル　ＯＲＩＧＩＮＡＬ　ＳＯＵＮＤＴＲＡＣＫ,manual,10,release_1444410,yoko kanno / 残響のテロル ORIGINAL SOUNDTRACK
q149,token_id,14576350,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q150,token_id,14576351,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q151,token_id,14576352,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q152,address,0x0000000000000000000000000000000000db5da1,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q153,address,0x0000000000000000000000000000000000db5da2,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q154,address,0x0000000000000000000000000000000000db5da3,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q155,cid,bafyaudioaaaf2cmbsetaaaaaaaaaaaaaaaaaa,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q156,cid,bafyaudioaaaaaf2dmbsetaaaaaaaaaaaaaaaa,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q157,cid,bafyaudioaaayouaaf2embsetaaaaaaaaaaaaa,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q158,resource_key,chain:11155111:0x0000000000000000000000000000000000db5da7:14576359,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q159,resource_key,chain:11155111:0x0000000000000000000000000000000000db5da8:14576360,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q160,resource_key,chain:11155111:0x0000000000000000000000000000000000db5da9:14576361,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q161,tx_hash,0x000000000000000000,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q162,tx_hash,0x000000000000000000,spot_check,5,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
